method,data_type,dimension,sample_size,noise_level,trial,frame_error,runtime,success,initialization,gradient_norm,iterations,step_size,stopping_criterion
deflation_varimax_random,gaussian_rotated,50,1000,0.05,1,1.2817727792908897,0.08527994155883789,True,random,,,,Deflation algorithm (non-pymanopt)
deflation_varimax_random,gaussian_rotated,50,1000,0.05,2,1.3127524404572675,0.06883907318115234,True,random,,,,Deflation algorithm (non-pymanopt)
deflation_varimax_random,gaussian_rotated,50,1000,0.05,3,1.3101578781278849,0.06580376625061035,True,random,,,,Deflation algorithm (non-pymanopt)
deflation_varimax_random,gaussian_rotated,50,1000,0.05,4,1.3338493146846566,0.06906795501708984,True,random,,,,Deflation algorithm (non-pymanopt)
deflation_varimax_random,gaussian_rotated,50,1000,0.05,5,1.3203253181745178,0.06104111671447754,True,random,,,,Deflation algorithm (non-pymanopt)
deflation_varimax_random,gaussian_rotated,50,1000,0.05,6,1.3189714709318385,0.07156825065612793,True,random,,,,Deflation algorithm (non-pymanopt)
deflation_varimax_random,gaussian_rotated,50,1000,0.05,7,1.2929736675334573,0.0654458999633789,True,random,,,,Deflation algorithm (non-pymanopt)
deflation_varimax_random,gaussian_rotated,50,1000,0.05,8,1.310619042096335,0.06810331344604492,True,random,,,,Deflation algorithm (non-pymanopt)
deflation_varimax_random,gaussian_rotated,50,1000,0.05,9,1.3215894971420379,0.07123708724975586,True,random,,,,Deflation algorithm (non-pymanopt)
robust_subspace_clustering,gaussian_rotated,2,1000,0.05,0,0.0002631712076979818,34.51623296737671,True,N/A,,,,LASSO + Spectral clustering (non-pymanopt)
robust_subspace_clustering,gaussian_rotated,2,1000,0.05,1,3.134923535765498e-05,29.045714139938354,True,N/A,,,,LASSO + Spectral clustering (non-pymanopt)
robust_subspace_clustering,gaussian_rotated,2,1000,0.05,2,0.00032055518818670313,32.472599029541016,True,N/A,,,,LASSO + Spectral clustering (non-pymanopt)
robust_subspace_clustering,gaussian_rotated,2,1000,0.05,3,0.00013848436754219915,30.426416873931885,True,N/A,,,,LASSO + Spectral clustering (non-pymanopt)
robust_subspace_clustering,gaussian_rotated,2,1000,0.05,4,4.1494622021864185e-05,27.92757487297058,True,N/A,,,,LASSO + Spectral clustering (non-pymanopt)
robust_subspace_clustering,gaussian_rotated,2,1000,0.05,5,0.0002829234915158809,38.15759801864624,True,N/A,,,,LASSO + Spectral clustering (non-pymanopt)
